what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408324322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408329673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408390186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408392806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1486408396956
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486408424038
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486408427111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408446970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408446985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486408473942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408516998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408541069
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1486408578072
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1486408578135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408605965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408606184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1486408622610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408666961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408669785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1486408676524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1486408680954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1486408695962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408702155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408709128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408709159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408710267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408719884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408722307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408740306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408755610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486408806278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486408887917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408942907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486408954140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486409082902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486409094368
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486409106879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486409324928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486409333602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486409388904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486409411742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486411208566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486411208722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486411211327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486411222980
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1486411229704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1486411229969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1486411251185
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1486411251185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486411254555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486411264539
